# ids, mstar, gas_mass, sfr, sfr_compact, gas_Z, rstar, rgas
1.192860000000000000e+05,9.796427726745605469e+00,1.027433490753173828e+01,3.596159517765045166e-01,1.973204165697097778e-01,2.004760876297950745e-02,5.345479965209960938e+00,2.492272377014160156e+01
1.192870000000000000e+05,1.006136894226074219e+01,1.013516902923583984e+01,2.040082216262817383e+00,1.123696804046630859e+00,1.834335364401340485e-02,6.108614921569824219e+00,1.594419479370117188e+01
1.192880000000000000e+05,1.032121467590332031e+01,8.126340866088867188e+00,3.027712181210517883e-02,3.027712181210517883e-02,6.099538877606391907e-02,5.076858043670654297e+00,3.179641485214233398e+00
1.192900000000000000e+05,1.006123065948486328e+01,8.638222694396972656e+00,1.122746914625167847e-01,1.112220510840415955e-01,3.301383554935455322e-02,2.610674142837524414e+00,2.733022451400756836e+00
1.192920000000000000e+05,1.002906036376953125e+01,9.773908615112304688e+00,1.332465291023254395e+00,1.119075179100036621e+00,1.999345421791076660e-02,5.304320812225341797e+00,8.066876411437988281e+00
1.192930000000000000e+05,9.990529060363769531e+00,9.654587745666503906e+00,1.465567231178283691e+00,6.194317340850830078e-01,2.617074735462665558e-02,2.248962879180908203e+00,6.700705528259277344e+00
1.192940000000000000e+05,9.448876380920410156e+00,9.795300483703613281e+00,6.961517333984375000e-01,4.038879871368408203e-01,1.487423386424779892e-02,4.067467689514160156e+00,1.763785552978515625e+01
1.192950000000000000e+05,9.364761352539062500e+00,9.627498626708984375e+00,2.319100201129913330e-01,1.952519118785858154e-01,1.339278090745210648e-02,3.561336517333984375e+00,1.443585872650146484e+01
1.192960000000000000e+05,9.694262504577636719e+00,9.481349945068359375e+00,1.898096948862075806e-01,1.176299005746841431e-01,2.114599011838436127e-02,3.883270025253295898e+00,8.552874565124511719e+00
1.192970000000000000e+05,9.723237991333007812e+00,7.393597602844238281e+00,8.299093693494796753e-03,8.299093693494796753e-03,4.747011885046958923e-02,2.053893089294433594e+00,8.359885215759277344e-01
1.192980000000000000e+05,9.857301712036132812e+00,9.434532165527343750e+00,3.039993047714233398e-01,9.466053545475006104e-02,2.391442097723484039e-02,3.894281387329101562e+00,8.109545707702636719e+00
1.192990000000000000e+05,9.803833007812500000e+00,9.147274017333984375e+00,1.118522733449935913e-01,1.095456629991531372e-01,2.523003518581390381e-02,5.012594699859619141e+00,6.022018909454345703e+00
1.193010000000000000e+05,9.385829925537109375e+00,9.854792594909667969e+00,5.035060048103332520e-01,7.864616811275482178e-02,1.128804683685302734e-02,4.373040199279785156e+00,1.247014904022216797e+01
1.193020000000000000e+05,1.000500869750976562e+01,8.929350852966308594e+00,1.527499854564666748e-01,4.089511558413505554e-02,2.780566364526748657e-02,1.049834012985229492e+00,3.774586439132690430e+00
1.193030000000000000e+05,9.844639778137207031e+00,9.114513397216796875e+00,3.836575448513031006e-01,3.258883059024810791e-01,3.039913997054100037e-02,3.717868804931640625e+00,4.096139430999755859e+00
1.193040000000000000e+05,9.621524810791015625e+00,9.257132530212402344e+00,1.422153413295745850e-01,1.362915784120559692e-01,2.834593504667282104e-02,2.697072267532348633e+00,9.844619750976562500e+00
1.193050000000000000e+05,9.494924545288085938e+00,9.291131973266601562e+00,1.184358596801757812e-01,1.113644540309906006e-01,2.113350667059421539e-02,4.606523036956787109e+00,8.842575073242187500e+00
