# ids, mstar, gas_mass, sfr, sfr_compact, gas_Z, rstar, rgas
2.683700000000000000e+04,9.759159088134765625e+00,9.978253364562988281e+00,7.017260789871215820e-01,6.702038049697875977e-01,1.597391813993453979e-02,4.504044532775878906e+00,3.225638198852539062e+01
2.684200000000000000e+04,9.844863891601562500e+00,8.851511001586914062e+00,3.446246311068534851e-02,3.446246311068534851e-02,2.977214567363262177e-02,2.797126770019531250e+00,7.308624744415283203e+00
2.684600000000000000e+04,9.613534927368164062e+00,9.334123611450195312e+00,1.493272930383682251e-01,1.485928446054458618e-01,1.796875149011611938e-02,3.648576498031616211e+00,9.171048164367675781e+00
2.684700000000000000e+04,9.393932342529296875e+00,9.903250694274902344e+00,5.189859271049499512e-01,2.983267307281494141e-01,1.063258294016122818e-02,3.723028659820556641e+00,1.925200462341308594e+01
2.684800000000000000e+04,9.548150062561035156e+00,9.524084091186523438e+00,3.482748270034790039e-01,3.227206766605377197e-01,1.961487159132957458e-02,3.044973850250244141e+00,1.331882953643798828e+01
2.685100000000000000e+04,9.915594100952148438e+00,9.213186264038085938e+00,3.862061202526092529e-01,3.675369918346405029e-01,2.855536527931690216e-02,2.583807229995727539e+00,5.376107692718505859e+00
2.685200000000000000e+04,9.796213150024414062e+00,8.491046905517578125e+00,2.185719273984432220e-02,2.185719273984432220e-02,2.991023473441600800e-02,2.946259498596191406e+00,4.380036354064941406e+00
2.685300000000000000e+04,9.409648895263671875e+00,9.782540321350097656e+00,9.805984795093536377e-02,5.931875109672546387e-02,1.645541377365589142e-02,3.971077680587768555e+00,2.027739143371582031e+01
2.685400000000000000e+04,9.280639648437500000e+00,9.780539512634277344e+00,2.112237811088562012e-01,9.433776140213012695e-02,1.060579158365726471e-02,3.118033885955810547e+00,1.368818569183349609e+01
2.685700000000000000e+04,9.122498512268066406e+00,9.801013946533203125e+00,6.819968670606613159e-02,2.175154909491539001e-02,1.013789791613817215e-02,4.206828117370605469e+00,1.489602851867675781e+01
2.685800000000000000e+04,9.413599014282226562e+00,9.689241409301757812e+00,7.665081024169921875e-01,7.605347633361816406e-01,1.272650994360446930e-02,3.017701387405395508e+00,1.578151798248291016e+01
2.686600000000000000e+04,9.550304412841796875e+00,8.553425788879394531e+00,4.079793021082878113e-02,4.079793021082878113e-02,3.077006526291370392e-02,3.461570739746093750e+00,3.246956348419189453e+00
2.687100000000000000e+04,9.126113891601562500e+00,8.817922592163085938e+00,1.259597856551408768e-02,1.259597856551408768e-02,1.298181060701608658e-02,3.854823827743530273e+00,9.948439598083496094e+00
2.687700000000000000e+04,9.322217941284179688e+00,9.250534057617187500e+00,2.932952046394348145e-01,2.808201611042022705e-01,1.687204837799072266e-02,2.135809659957885742e+00,7.575059413909912109e+00
